KENYA PROVIDERS,county,Specialty,Location
Pathologists Lancet Kenya,Mombasa,Laboratory Services,Biashara building Ground flr
,,,
Muranga,,,
Kangema Medical Services,Muranga,Hospital,"Kangema Town, Next to Equity Bank"
Jade Wasafiri Ltd. (Chemist),Muranga,Chemist,"Kenyatta St,Opp. Consolidated Bank"
Kiriani Mission Hospital,Muranga,Hospital,Kiriani Town
Githumu Mission Hospital,Muranga,Hospital,"Kangare, Muranga"
Kimkan Health Services,Muranga,Hospital,
"Focus clinical and diagnostic Centre,",Muranga,Clinic,Wamuchiri building Ground Floor
,,,
Nairobi,,,
Phamart Health Care,Nairobi,Clinic,Nakumatt Lifestyle
Dr Ann Kihara,Nairobi,Gynaecologists,Ruby Medical Centre-Electricity House 3rd floor rm 31d
Dr P Kamau Njoroge,Nairobi,Orthopaedic Consultant,KNH drs Plaza suite 43
Aga Khan University Medical Centre,Nairobi,Hospital,"1st Floor, Kenya national library Building,Buru buru Phase 2"
Meridian Medical Centre,Nairobi,Clinic,Buruburu Business Complex
Metropolitan Hospital,Nairobi,Hospital,"Rabai Road, BuruBuru"
Anchor Medical Consultants-,Nairobi,Hospital,BuruBuru
Clinix Healthcare,Nairobi,Clinic,Inside St James Church Social Hall 1st floor
Gertrudes Garden Clinic,Nairobi,Hospital,"Donholm, Next to Solar House"
Meridian Medical Centre,Nairobi,Clinic,"Donholm, Behind Caltex"
AMREF Flying Doctor Service,Nairobi,Evacuation Facility,"Wilson Airport, off Langata Road"
Gertrudes Garden Clinic,Nairobi,Clinic,"Lavington, Othaya Road"
Lions sightfirst Eye Hospital- Loresho,Nairobi,Hospital,Kaptagat Road
Gertrudes Garden C. Hospital,Nairobi,Hospital,Muthaiga Road
Gertrudes Garden Clinic,Nairobi,Hospital,"Nairobi West, Kodi Road"
Nairobi West Hospital,Nairobi,Hospital,"Gandhi Avenue, Nairobi West"
Meridean Equator Hospital,Nairobi,Hospital,"Bukani Road, Nairobi West"
Canaan Health Providers,Nairobi,Clinic,"Corner House, 1st Floor,Mama Ngina Street"
SDA Health Services,Nairobi,Clinic,"Milimani Road, Opp. Integrity Centre"
ANKH Womens Clinic,Nairobi,Clinic,"N.H.I.F Building, 2nd Floor, Upperhill"
Ben-Ammi Medical Centre,Nairobi,Clinic,"N.H.I.F Building, 2nd Floor, Upperhill"
Kenyatta National Hospital- Private Wing,Nairobi,Hospital,Upper Hill
Aga Khan Diagnostic Center - X-ray Services,Nairobi,Radiology Center,"Upperhill Medical Centre, 1st Floor"
Upper Hill Radiology Center,Nairobi,Hospital,"5th Avenue Building, 5th Ngong Avenue, 3rd Floor, Suite No.9"
Dr. C. N. Wamanda,Nairobi,Cons Paediatrician,Nairobi Hospital Drs Plaza
Dr Safwat Andrawes,Nairobi,paediatric Surgeon,Nairobi Hospital Drs Plaza
Dr. Joy Mpaata,Nairobi,Paediatrician,Nairobi Hospital Lab Building
Dr A K Montet,Nairobi,Paediatrician,Upper Hill Medical Centre
Dr Stephen Muhudhia,Nairobi,Cons Paediatrician,Nairobi Hospital New Drs Plaza
Dr. Hilda Njuki,Nairobi,Pediatrician,"ICEA Building, 2nd Floor"
Dr. Ian kaburu,Nairobi,Cons Pediatrician,Nairobi West Childrens Clinic
Dr K C Wafula,Nairobi,Cons Paediatrician,"Aga Khan Drs Plaza, Room 237"
Dr. Gachare L. N.,Nairobi,Cons Paediatrician (Chest Specialist),Upper Hill Medical Centre
Dr. Mrs. Somaya Adrawes,Nairobi,General & Laparoscopic Surgeon,"Nairobi Hospital, Doctors Plaza"
Dr Hamdun said Hamdun,Nairobi,Pediatric Surgeon,KNH Drs Plaza
Dr Doris Kinuthia,Nairobi,Pediatric Urologist,Aga khan drs Plaza
Dr Laving Ahmed,Nairobi,Pediatric Gastroenterologist,Aga khan drs Plaza- Suite 430
Dr Peter Ngwatu,Nairobi,Pediatric Gastroenterologist,Upper hill medical centre
Dr Nyambura Kariuki,Nairobi,Pediatrician/Haematologist,Nairobi hosp drs plaza room 110
Dr Gacheri Nyamu,Nairobi,Consultant Paeditirician ( Neonatologist),Nairobi hosp drs plaza
Dr. Miriam Karanja,Nairobi,Paediatrician,KNH Doctors Plaza
Dr.Wanyoike,Nairobi,Paediatrician,Lylic Hse 7th flr Kimathi St.
DR. Peter Kamau Njoroge,Nairobi,Orthopaedic Surgeon,KNH Doctors Plaza
Dr Andrew Malavu,Nairobi,Paediatrician,"Yaya Centre, 3rd floor room 13"
Dr Kingondu Timothy m.,Nairobi,Chest Specialist/Physician,Nairobi hosp drs plaza
Dr Paul Wangai,Nairobi,Cons Paediatrician,"Post Bank House 3rd Floor/ Aga Khan Drs Plaza Rm116,"
Dr Kimani Gicheru,Nairobi,Cons Paediatrician,Upper hill medical centre
Dr. D. W. Muhindi,Nairobi,Chest Specialist/Physician,Nairobi hosp drs plaza
Dr Simon Wairagu,Nairobi,physician urologist,"Post Bank House 3rd Floor/ Aga Khan Drs Plaza Rm116,"
Dr Kibowen Torotich,Nairobi,Physcian,Bruce House
Dr.Omondi Oyoo,Nairobi,Rheumatologist,"Fort Granite, Suite B4, Bishops Rd, Next To Loreto Convent"
Dr George M. Ogweno,Nairobi,gynaecologist,Ngong Road
Dr.Ngayu Godfrey,Nairobi,gynaecologist,"I.C.E.A Build, 2nd Floor,landmark plaza opp nrb hospital"
Dr.Khisaweston Wakasiaka,Nairobi,gynaecologist,"Family Health Clinic, Hurlingham, Nyaku Hse 2nd Fl."
Dr. Jean Kagia,Nairobi,Gynaecologist,Upper hill medical centre
Dr. Kagema Frank,Nairobi,gynaecologist,"Nyaku House Behind Barclays Bank,"
Dr. Rukaria Kaumbutho,Nairobi,gynaecologist,Aga Khan Hospital
Dr N G Thagana,Nairobi,gynaecologist,Upper hill medical centre
Dr. Gichuru Kamau,Nairobi,Gynaecologist,KNH Drs Plaza Suite 16
Dr. Barbara Magokha,Nairobi,Gynaecologist,"Unipen Apartment, 2nd Floor, Hurlingharm"
Dr Col.Paul Ngumbi,Nairobi,Gynaecologist,Upperhill medical centre
Dr Muriithi Waruingi,Nairobi,Gynaecologist,Arrow house 1st floor
Dr. Wanyoike Gichuhi,Nairobi,Gynaecologist,Upper hill medical centre
Dr. Esther Wanjohi,Nairobi,Gynaecologist,Nairobi hospital 3rd floor Room 305
Dr Kigen Bartilol,Nairobi,Gynaecologist,Ben Amni Clinic-NHIF building 2nd floor
Dr. Okonji Mark,Nairobi,Psychiatrist,Nairobi Hospital Plaza
Dr Rachel Kangethe,Nairobi,Psychiatrist,Karen Hospital/Aga Khan Plaza
Dr. Pius Kigamwa,Nairobi,Psychiatrist,"Aga Khan, Doctors Plaza/Nrb.hosp.Doctors Plaza"
Dr Frank Njenga,Nairobi,Psychiatrist,Upperhill Medical
Dr Donald P. Oyatsi,Nairobi,Neuro- Paed,Benuda plaza off ngong road
Prof.E.O Amayo,Nairobi,neurologist,Neurology centre Hurlingham
Dr. Y. B. Sonigra,Nairobi,Thoracic & Cardiovascular Surgeon,Akh Plaza Rm 301
Dr. Mark Joshi,Nairobi,Cardiologist,Nrb hosp drs Plaza
Dr J C Munene,Nairobi,Cardio-Thoracic Surgeon,Upper hill medical Centre/Nairobi hospital drs plaza
Dr Robert Mathenge,Nairobi,Cardio- Physcian,Equatorial Heart Clinic
Dr Thomas Mutie,Nairobi,gastro-Entrologist( Physician),Nairobi Hosp drs plaza
Dr Betty M. Musau,Nairobi,gastro-Entrologist( Physician),Nairobi Hospital Consulting Rooms
Dr. Smita P. Devani,Nairobi,gastro-Entrologist( Physician),Aga Khan Hosp. Plaza
Dr. Kairu S. M,Nairobi,gastro-Entrologist( Physician),"Menelik Medical Centre,off Ngong Rd"
Dr. W. M Kiraitu,Nairobi,gastro-Entrologist( Physician),"General Accident House, 3rd Floor"
Dr. Eliud Njuguna,Nairobi,Oncologist,"Knh/Nairobi Radiology, MP Shah Hospital, Doctors plaza 3rd floor"
Dr. Othieno Abinya,Nairobi,Oncologist,"Hurlingham Medicare Plaza, 3rd Fl"
Dr. M. D. Maina,Nairobi,Cons. Physician/ Haematologist,"Pan Africa Ins. Arcade, Suite 12, Hurlingham"
Dr Paul ngugi,Nairobi,Physician -Endo Crinologist,Nairobi hosp drs plaza
Dr. Eva Njenga,Nairobi,Physician -Endo Crinologist,"Nairobi hosp drs plaza, Landmark Do ctors plaza"
Dr. Alice Musibi,Nairobi,Oncologist,5th Avenue Building opp.Traffic police HQ
Dr. H. Waweru,Nairobi,Dermatologist,Upperhill Medical Centre
Dr. Miyanji Melanie,Nairobi,Dermatologist,"Aga Khan, Doctors Plaza"
Dr Wanyika HW,Nairobi,Dermatologist,Ben Amni Medical Centre-Nhif Building 2nd Floor
Dr. Kitili Peninah N. (Mrs),Nairobi,Dermatologist,Hurlingham Medical centre Next to Total
Baus Optical,Nairobi,Optical,Hilton Hotel
Optica Ltd.,Nairobi,Optical,"T- Mall, 1st Floor, Langata Road"
Optica Ltd.,Nairobi,Optical,"Moi Avenue, Next to Nairobi Sports House"
Omega Opticians,Nairobi,Optical,Moktar Daddah Street
Eye Care Consultants,Nairobi,Optical,Fedha Towers
Star Optics,Nairobi,Optical,standard street
EyeStyle Opticians,Nairobi,Optical,"Research International Centre, GF, Mpaka Road westlands"
Eagle eye laser & diagnostic centre Services,Nairobi,Optical,"5th Avenue,3rd Floor, Ngong Road"
Dr Oscar Onyango( Nairobi eye associates),Nairobi,Opthalmologist,General Accident House
Dr. Onyango Ogony,Nairobi,Opthalmologist,"Corner House, Kimathi Street"
Dr. Masinde Michael Sajabi,Nairobi,Opthalmologist,"Nairobi Hospital, Doctors Plaza,G.Floor"
Prof. Henry S. Adala,Nairobi,Opthalmologist,"Utalii Hse 1st Fl, Uhuru Highway"
Dr. Millicent Muthoni Kariuki-Wanyoike,Nairobi,Opthalmologist,Upper hill medical centre
Dr M M Bhaiji,Nairobi,Opthalmologist,M P Shah Hospital
Dr. Omondi Peter Charles,Nairobi,Dentist,"Jubilee Ins. Exchange, Mama Ngina St."
Dr. Kanyogo Rufus,Nairobi,Dentist,"Fort Granite Flats, Behind Chancery, Off Valley Rd."
Goldmed Dental Clinic/Dr Rufus Kamundia,Nairobi,Dentist,Tse Building Ground Floor/Biashara St
Dentplan,Nairobi,Dentist,Consolidated Bank Hse 3rd Fl.
Dr Dorcas Wanjiru,Nairobi,Dentist,"Cape Office Park,6th Floor,Ring Road Kilimani Opp.Yaya Centre"
World Ministries International,Nairobi,Dentist,South C At The Corner Of Ole Shapara & Muhuti Avenue.
Molars Dental Practice,Nairobi,Dentist,Electricity House 3rd Floor. Harambee Ave.
Dr Nisha Sapra,Nairobi,Dentist,Uhmc/3rd Flr Rm 3a
Dr Ken Salamba,Nairobi,Dentist,Nairobi Hosp - Drs plaza - new consulting Rooms
Dr David Oyugi,Nairobi,Dentist,Lonrho house 12th Floor
Dr Kasi Majani,Nairobi,Dentist,Bemuda Plaza- hurlingham medicare plaza
Prof. John Adwok,Nairobi,General Surgeon,Nairobi Hospital Doctors Plaza
Dr. M. R. Khan,Nairobi,General Surgeon,Nairobi Hosp New Doctors Plaza
Dr Richard Baraza,Nairobi,General Surgeon,Nairobi Hosp.And Consultation Rooms
Dr Paul Odula,Nairobi,General Surgeon,Medicare plaza Room 408
Dr. Jumba George F.,Nairobi,General Surgeon,Aga Khan Drs Plaza
Dr B.N Waitara,Nairobi,General Surgeon,Electricity house
Dr Joseph Githaiga,Nairobi,General Surgeon,Nairobi Hospital drs pLaza
Dr S N K Waweru,Nairobi,General Surgeon,consolidated hse-2nd flr/Nelson Awori-4th Flr
Dr S. Maina Kanyi,Nairobi,General Surgeon,Upperhill medical centre
Dr Peter Mungai Ngugi,Nairobi,Consultant Surgeon / Urology,Upperhill medical centre
Dr Charles Murithi,Nairobi,E.N.T Surgeon,Ben Amni Medical-NHIF building
Dr. Okoth Olende Chimmy,Nairobi,E.N.T Surgeon,"Nairobi Ent Clinic,Nairobi hosp Drs plaza"
Dr. Mugwe Peter,Nairobi,E.N.T Surgeon,"Hazina Medical Consultants Clinic, Hazina Towers"
Dr. Isaac Muthure Macharia,Nairobi,E.N.T Surgeon,Hurlingham Medicare Plaza
Dr. Samuel Kioni Warugongo,Nairobi,E.N.T Surgeon,Knh Drs Plaza No. 11 & Mp Shah Hosp Drs Plaza 1st Fl.
Dr. Sonigra J. B,Nairobi,E.N.T Surgeon,Mater/Tumaini House
Dr Macharia Muchiri/Dr Musa Kipingor,Nairobi,E.N.T Surgeon,"Hurlingham Ear,Nose And Throat Clinic"
Dr Edwin Rono,Nairobi,Maxillo-facial consultant,Mp shah Hospital 3rd Floor Rmt6
Dr J F Onyango,Nairobi,Maxillo-facial consultant,Nairobi Hospital
Dr Eric Kahugu,Nairobi,Maxillo-facial consultant,Upperhill Medical Centre
Dr Vincent M. Mutiso/Dr Murila,Nairobi,Consultant Orthopaedic,Nairobi Hospital New Doctors Plaza
Dr. Calisto Odongo,Nairobi,Orthopaedic,Knh Doc Plaza
Prof. Gakuu L. N.,Nairobi,Consultant Orthopaedic,Menelik Medical Centre
Dr Neeraj Krishna,Nairobi,Orthopaedic Surgeon,M P Shah Hospital
Dr David Kinyanjui,Nairobi,Orthopaedic Surgeon,Knh/Ben Amni-Nhif Building
Dr Julius Kiboi,Nairobi,Neuro-Surgeon,M P Shah Hospital
Dr Gichuru Mwangi,Nairobi,Neuro-Surgeon,M P Shah Hospital/ Knh Plaza Suite 39
Dr. Akuku Okoth,Nairobi,Neuro-Surgeon,Olive tree
Dr. Oluoch-Olunya David L.,Nairobi,Neuro-Surgeon,Nairobi Hospital
